id,family,phenomenon,min_hz,max_hz,characteristic_hz,range_kind,what_oscillates,evidence_status,source_ids,notes
"H-HYPERFINE","atomic/spin","neutral hydrogen 21 cm hyperfine line","","","1.420e9","characteristic transition","hyperfine spin configuration","ESTABLISHED","P2-SRC-012","approximately 1420 MHz"
"NMR-EXAMPLE","spin","NMR instrument examples","7e8","8e8","","instrument examples","nuclear spin/magnetization","ESTABLISHED","P2-SRC-013","NIST 700 and 800 MHz instruments; resonance is field/nucleus dependent"
"ESR-EXAMPLE","spin","ESR/EPR examples","5e9","3.4e10","","instrument/experiment examples","electron spin/magnetization","ESTABLISHED","P2-SRC-014","NIST examples 5-25 GHz and 9/34 GHz; not universal"
"NUC-FE57","nuclear","Fe-57 Mossbauer 14.4 keV transition","","","3.48e18","characteristic transition","nuclear quantum state","ESTABLISHED","P2-SRC-015","E/h conversion; representative line"
"EM-RADIO","electromagnetic","radio","","3e9","","conventional EM band","electromagnetic field","ESTABLISHED","P2-SRC-016","approximate NASA/GSFC boundary"
"EM-MICROWAVE","electromagnetic","microwave","3e9","3e11","","conventional EM band","electromagnetic field","ESTABLISHED","P2-SRC-016","approximate NASA/GSFC boundary"
"EM-INFRARED","electromagnetic","infrared","3e11","4e14","","conventional EM band","electromagnetic field","ESTABLISHED","P2-SRC-016","approximate NASA/GSFC boundary"
"EM-VISIBLE","electromagnetic","visible/optical","4e14","7.5e14","","conventional EM band","electromagnetic field","ESTABLISHED","P2-SRC-016","approximate NASA/GSFC boundary"
"EM-UV","electromagnetic","ultraviolet","7.5e14","3e16","","conventional EM band","electromagnetic field","ESTABLISHED","P2-SRC-016","approximate NASA/GSFC boundary"
"EM-XRAY","electromagnetic","X-ray","3e16","3e19","","conventional EM band","electromagnetic field","ESTABLISHED","P2-SRC-016","approximate NASA/GSFC boundary"
"EM-GAMMA","electromagnetic","gamma ray","3e19","","","conventional EM band","electromagnetic field","ESTABLISHED","P2-SRC-016","approximate NASA/GSFC boundary; X/gamma naming may also depend on origin"
"PLASMA-ELECTRON","plasma","electron plasma oscillation","","","","parameter-dependent formula","electron charge density and electric field","ESTABLISHED","P2-SRC-017","f_pe ≈ 8.98e3 sqrt(n_e[cm^-3]) Hz in cited NRL convention"
"PLASMA-GYRO","plasma","electron gyrofrequency","","","","parameter-dependent formula","charged-particle gyromotion","ESTABLISHED","P2-SRC-017","f_ce ≈ 2.80e6 B[G] Hz in cited NRL convention"
"MATTER-WAVE","quantum matter","matter-wave behavior","","","","state-dependent","quantum state phase/wavefunction","ESTABLISHED","P2-SRC-018","no universal frequency band; de Broglie wavelength depends on momentum"
"NEUTRINO-OSC","particle/quantum","neutrino flavor oscillation","","","","not a simple universal Hz axis","relative phase of neutrino mass eigenstates","ESTABLISHED","P2-SRC-019","oscillation depends on mass-squared splitting and L/E"
"GW-PTA","gravitational","pulsar-timing gravitational-wave band","1e-9","1e-7","","detector/observational band","spacetime metric perturbation","ESTABLISHED","P2-SRC-020","PTA search regime; not physical existence limit"
"GW-LISA","gravitational","LISA low-frequency band","1e-4","1e-1","","detector/mission band","spacetime metric perturbation","ESTABLISHED","P2-SRC-020","NASA reference band ~0.1 mHz-0.1 Hz"
"GW-LIGO","gravitational","Advanced LIGO detector band","10","5000","","detector band","spacetime metric perturbation","ESTABLISHED","P2-SRC-020","cited instrument design/calibration domain; not physical existence limit"
